//
//
//
// 게임종류 : 색상게임 = hue, 명도게임 = value, 채도게임 = chroma, 색감게임 = fit
// 데이터의 종류 : 
//    * answerArr = 정답의 색상과 순서.
//    * givenArr  = 주어질 색상과 위치. 빈칸은 "xxxxxx" 로 채워주세요.
//    * timeLimit = 꼭 "##sec" 형식으로 작성해주세요.
//
//////////////////////////색상테스트//////////////////////////
// 첫번째 색상부터 3시방향에서 시계방향으로 채워집니다.
//
hue   ,1  ,answerArr ,ce303f,f39a24,f1cc00,9ebf18,00893f,008789,007ead,437abe,9e65a7,cb4880
hue   ,1  ,givenArr  ,ce303f,xxxxxx,xxxxxx,xxxxxx,00893f,xxxxxx,007ead,xxxxxx,xxxxxx,xxxxxx
hue   ,1  ,timeLimit ,30sec
//
hue   ,2  ,answerArr ,ce303f,e6501c,f39a24,f0b107,f1cc00,dbd100,9ebf18,25a339,00893f,00886f,008789,0086a0,007ead,0079c4,437abe,8070b1,9e65a7,bd569c,cb4880,d83e68
hue   ,2  ,givenArr  ,ce303f,xxxxxx,xxxxxx,xxxxxx,f1cc00,xxxxxx,xxxxxx,xxxxxx,00893f,xxxxxx,xxxxxx,xxxxxx,007ead,xxxxxx,xxxxxx,xxxxxx,9e65a7,xxxxxx,xxxxxx,xxxxxx
hue   ,2  ,timeLimit ,60sec
//
hue   ,3  ,answerArr ,c82d50,ce303f,e74132,e6501c,ee761f,f39a24,f6a92d,f0b107,fbc400,f1cc00,e6cd00,dbd100,cad500,9ebf18,89bc28,25a339,008e3b,00893f,008963,00886f,00877d,008789,008694,0086a0,0085a9,007ead,007dbb,0079c4,0075bf,437abe,6677b9,8070b1,8e6dae,9e65a7,ac5fa2,bd569c,c64b91,cb4880,d34175,d83e68
hue   ,3  ,givenArr  ,c82d50,xxxxxx,xxxxxx,xxxxxx,xxxxxx,xxxxxx,f6a92d,xxxxxx,xxxxxx,f1cc00,xxxxxx,xxxxxx,xxxxxx,xxxxxx,89bc28,xxxxxx,xxxxxx,xxxxxx,xxxxxx,00886f,xxxxxx,xxxxxx,008694,xxxxxx,xxxxxx,xxxxxx,xxxxxx,0079c4,xxxxxx,xxxxxx,6677b9,xxxxxx,xxxxxx,9e65a7,xxxxxx,xxxxxx,xxxxxx,cb4880,xxxxxx,xxxxxx
hue   ,3  ,timeLimit ,90sec
//
//
//////////////////////////명도테스트//////////////////////////
// 위에서부터 채워집니다. 정답의 색상 중 랜덤한 하나의 색상이 문제로 주어집니다.
//
value ,1     ,answerArr  ,ffffff,e3e3e3,c6c6c6,aaaaaa,8e8e8e,717171,555555,393939,1c1c1c,000000
value ,1     ,givenArr   ,ffffff,xxxxxx,xxxxxx,xxxxxx,xxxxxx,xxxxxx,xxxxxx,xxxxxx,xxxxxx,xxxxxx
value ,1     ,timeLimit  ,20sec
//
value ,2     ,answerArr  ,ffffff,f2f2f2,e4e4e4,d7d7d7,c9c9c9,bcbcbc,aeaeae,a1a1a1,949494,868686,797979,6b6b6b,5e5e5e,515151,434343,363636,282828,1b1b1b,0d0d0d,000000
value ,2     ,givenArr   ,ffffff,xxxxxx,xxxxxx,xxxxxx,xxxxxx,xxxxxx,xxxxxx,xxxxxx,xxxxxx,xxxxxx,xxxxxx,xxxxxx,xxxxxx,xxxxxx,xxxxxx,xxxxxx,xxxxxx,xxxxxx,xxxxxx,xxxxxx
value ,2     ,timeLimit  ,40sec
//
//
//////////////////////////채도테스트//////////////////////////
// 명도 테스트와 같습니다.
//red
chroma ,1    ,answerArr  ,727272,7f6567,8c595d,994c52,a63f47,b2333d,bf2632,cc1927,d90d1d,e60012
chroma ,1    ,givenArr   ,727272,xxxxxx,xxxxxx,xxxxxx,xxxxxx,xxxxxx,xxxxxx,xxxxxx,xxxxxx,e60012
chroma ,1    ,timeLimit  ,20sec
//
//green
chroma ,2    ,answerArr  ,7f7f7e,718177,638370,558569,478762,38895c,2a8b55,1c8d4e,0e8f47,009140
chroma ,2    ,givenArr   ,7f7f7e,xxxxxx,xxxxxx,xxxxxx,xxxxxx,xxxxxx,xxxxxx,xxxxxx,xxxxxx,009140
chroma ,2    ,timeLimit  ,20sec
//
//blue
chroma ,3    ,answerArr  ,5c5c5c,545c63,4b5c6b,435c72,3b5c79,325c80,255984,215b8f,195b96,115b9d,085ba5,005bac
chroma ,3    ,givenArr   ,5c5c5c,xxxxxx,xxxxxx,xxxxxx,xxxxxx,xxxxxx,xxxxxx,xxxxxx,xxxxxx,xxxxxx,xxxxxx,005bac
chroma ,3    ,timeLimit  ,30sec
//
//yellow
chroma ,4    ,answerArr  ,eeeeee,f0eed8,f1efc3,f3efad,f4ef97,f6ef82,f7f06c,f9f057,faf041,fcf02b,fdf116,fff100
chroma ,4    ,givenArr   ,eeeeee,xxxxxx,xxxxxx,xxxxxx,xxxxxx,xxxxxx,xxxxxx,xxxxxx,xxxxxx,xxxxxx,xxxxxx,fff100
chroma ,4    ,timeLimit  ,30sec
//
//
//////////////////////////색감테스트//////////////////////////
